127.0.0.1 - - [13/Jun/2024:13:15:07 +0000] "GET /help HTTP/1.1" 502 3216 "" "curl/8.6.0-DEV" -
127.0.0.1 - - [13/Jun/2024:13:16:08 +0000] "GET /help HTTP/1.1" 502 3216 "" "curl/8.6.0-DEV" -
172.23.0.1 - - [13/Jun/2024:13:16:19 +0000] "GET / HTTP/1.1" 502 3216 "" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:16:19 +0000] "GET /favicon.ico HTTP/1.1" 502 3216 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:16:24 +0000] "GET / HTTP/1.1" 502 3216 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:16:24 +0000] "GET /favicon.ico HTTP/1.1" 502 3216 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:16:28 +0000] "GET / HTTP/1.1" 502 3216 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:16:28 +0000] "GET /favicon.ico HTTP/1.1" 502 3216 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:16:29 +0000] "GET / HTTP/1.1" 502 3216 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:16:29 +0000] "GET /favicon.ico HTTP/1.1" 502 3216 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:16:35 +0000] "-  -" 400 150 "" "-" -
172.23.0.1 - - [13/Jun/2024:13:16:35 +0000] "-  -" 400 150 "" "-" -
172.23.0.1 - - [13/Jun/2024:13:16:35 +0000] "-  -" 400 150 "" "-" -
172.23.0.1 - - [13/Jun/2024:13:16:35 +0000] "-  -" 400 150 "" "-" -
172.23.0.1 - - [13/Jun/2024:13:16:39 +0000] "-  -" 400 150 "" "-" -
172.23.0.1 - - [13/Jun/2024:13:16:39 +0000] "-  -" 400 150 "" "-" -
172.23.0.1 - - [13/Jun/2024:13:16:39 +0000] "-  -" 400 150 "" "-" -
172.23.0.1 - - [13/Jun/2024:13:16:39 +0000] "-  -" 400 150 "" "-" -
172.23.0.1 - - [13/Jun/2024:13:16:40 +0000] "-  -" 400 150 "" "-" -
172.23.0.1 - - [13/Jun/2024:13:16:40 +0000] "-  -" 400 150 "" "-" -
172.23.0.1 - - [13/Jun/2024:13:16:40 +0000] "-  -" 400 150 "" "-" -
172.23.0.1 - - [13/Jun/2024:13:16:40 +0000] "-  -" 400 150 "" "-" -
172.23.0.1 - - [13/Jun/2024:13:16:47 +0000] "GET / HTTP/1.1" 502 3216 "" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:16:47 +0000] "GET /favicon.ico HTTP/1.1" 502 3216 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:16:52 +0000] "GET / HTTP/1.1" 502 3216 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
172.23.0.1 - - [13/Jun/2024:13:16:52 +0000] "GET /favicon.ico HTTP/1.1" 502 3216 "http://localhost:8080/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_15_7) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/125.0.0.0 Safari/537.36" -
